index,title,type,release_year,primary_genre,platform,date_added,imdb_id,imdb_rating,imdb_votes,box_office_sales,production_cost
169,Barbie Big City Big Dreams,Movie,2021,Children & Family Movies,Netflix,2021-09-01,,,,,
170,"El patrón, radiografía de un crimen",Movie,2014,Dramas,Netflix,2021-09-01,,,,,
171,Extraction,Movie,2015,Action & Adventure,Netflix,2021-09-01,,,,,
172,Freedom Writers,Movie,2007,Dramas,Netflix,2021-09-01,,,,,
173,Green Lantern,Movie,2011,Action & Adventure,Netflix,2021-09-01,,,,,
174,House Party,Movie,1990,Comedies,Netflix,2021-09-01,,,,,
175,House Party 2,Movie,1991,Comedies,Netflix,2021-09-01,,,,,
176,House Party 3,Movie,1994,Comedies,Netflix,2021-09-01,,,,,
177,How to Be a Cowboy,TV Show,2021,Reality TV,Netflix,2021-09-01,,,,,
178,HQ Barbers,TV Show,2020,TV Shows,Netflix,2021-09-01,,,,,
179,I Got the Hook Up,Movie,1998,Action & Adventure,Netflix,2021-09-01,,,,,
180,Janoskians: Untold and Untrue,Movie,2016,Comedies,Netflix,2021-09-01,,,,,
181,In Too Deep,Movie,1999,Thrillers,Netflix,2021-09-01,,,,,
182,Initial D,Movie,2005,Action & Adventure,Netflix,2021-09-01,,,,,
183,In the Line of Fire,Movie,1993,Action & Adventure,Netflix,2021-08-31,,,,,
184,Sparking Joy,TV Show,2021,Reality TV,Netflix,2021-08-31,,,,,
185,Untold: Crime & Penalties,Movie,2021,Documentaries,Netflix,2021-08-31,,,,,
186,The Ingenuity of the Househusband,TV Show,2021,International TV Shows,Netflix,2021-08-29,,,,,
187,Hometown Cha-Cha-Cha,TV Show,2021,International TV Shows,Netflix,2021-08-29,,,,,
188,Bread Barbershop,TV Show,2020,Kids' TV,Netflix,2021-08-28,,,,,
189,Thimmarusu,Movie,2021,Dramas,Netflix,2021-08-28,,,,,
190,Wind River,Movie,2017,Dramas,Netflix,2021-08-28,,,,,
191,2 Alone in Paris,Movie,2008,Comedies,Netflix,2021-08-28,,,,,
192,RIDE ON TIME,TV Show,2021,Docuseries,Netflix,2021-08-27,,,,,
