platform,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,listed_in2,listed_in3
Disney,s1378,Movie,Toy Story,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",United States,11/12/2019,1995,G,83 min,Action-Adventure, Animation, Buddy
Disney,s1379,Movie,Toy Story 2,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney",United States,11/12/2019,1999,G,93 min,Action-Adventure, Animation, Comedy
Disney,s1380,Movie,Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger",United States,11/12/2019,2010,G,103 min,Animation, Comedy, Drama
Disney,s1381,Movie,Toy Story Toons: Hawaiian Vacation,Gary Rydstrom,"Tom Hanks, Tim Allen, Joan Cusack, Kristen Schaal, Wallace Shawn, Axel Geddes",United States,11/12/2019,2011,G,6 min,Animation, Comedy, Family
Disney,s1382,Movie,Toy Story Toons: Partysaurus Rex,Mark Walsh,"Tom Hanks, Tim Allen, Wallace Shawn, Corey Burton, Tony Cox, Don Fullilove",United States,11/12/2019,2012,G,9 min,Animation, Comedy, Family
Disney,s1383,Movie,Toy Story Toons: Small Fry,Angus MacLane,"Tom Hanks, Tim Allen, John Ratzenberger, Wallace Shawn, Joan Cusack, Estelle Harris",United States,11/12/2019,2011,G,10 min,Animation, Family, Kids
Disney,s1384,Movie,Trail of the Panda,Zhong Yu,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",China,11/12/2019,2009,G,89 min,Action-Adventure, Animals & Nature, Family
Disney,s1385,Movie,Trailer Horn,Jack Hannah,,United States,11/12/2019,1950,TV-G,7 min,Animation, Comedy, Family
Disney,s1386,Movie,Treasure Island,Byron Haskin,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Finlay Currie","United Kingdom, United States",11/12/2019,1950,PG,96 min,Action-Adventure, Family,
Disney,s1387,Movie,Treasure of Matecumbe,Vincent McEveety,"Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Johnny Doran, Billy Attmore",United States,11/12/2019,1976,G,116 min,Action-Adventure, Family, Mystery
Disney,s1388,Movie,Treasure Planet,"John Musker, Ron Clements","Joseph Gordon-Levitt, Brian Murray, Emma Thompson, David Pierce, Martin Short, Dane Davis",United States,11/12/2019,2002,PG,98 min,Action-Adventure, Animation, Family
Disney,s1389,Movie,Tree Climbing Lions,,Alexander Braczkowski,,11/12/2019,2018,TV-PG,45 min,Animals&Nature, Documentary, Family
Disney,s1390,Movie,Tron,Steven Lisberger,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor",United States,11/12/2019,1982,PG,96 min,Action-Adventure, Family, Science Fiction
Disney,s1391,Movie,Tru Confessions,Paul Hoen,"Shia LaBeouf, Clara Bryant, William McGuire, Nicole Dicker, Kevin Duhaney, Yani Gellman","United States, Canada",11/12/2019,2002,TV-G,83 min,ComingofAge, Drama,
Disney,s1392,Movie,Tuck Everlasting,Jay Russell,"Alexis Bledel, Ben Kingsley, Sissy Spacek, Amy Irving, Victor Garber, Jonathan Jackson",United States,11/12/2019,2002,PG,91 min,ComingofAge, Drama, Fantasy
Disney,s1393,Movie,Tugboat Mickey,Clyde Geronimi,"Walt Disney, Clarence Nash, Pinto Colvig",United States,11/12/2019,1940,TV-G,8 min,Animation, Comedy, Family
Disney,s1394,Movie,Twas the Night,Nick Castle,"Bryan Cranston, Josh Zuckerman, Jefferson Mappin, Brenda Grate, Rhys Williams, Barclay Hope",United States,11/12/2019,2001,TV-G,87 min,Comedy, Crime, Fantasy
Disney,s1395,Movie,Twitches,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Jennifer Robertson",United States,11/12/2019,2005,TV-PG,87 min,Comedy, Fantasy,
Disney,s1396,Movie,Twitches Too,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Leslie Seiler",United States,11/12/2019,2007,TV-PG,84 min,Comedy, Fantasy,
Disney,s1397,Movie,Unidentified Flying Oddball,Russ Mayberry,"Dennis Dugan, Jim Dale, Ron Moody, Kenneth More, John Le Mesurier, Rodney Bewes",United States,11/12/2019,1979,G,93 min,Action-Adventure, Comedy, Family
Disney,s1398,Movie,Up,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",United States,11/12/2019,2009,PG,96 min,Action-Adventure, Animation, Buddy
Disney,s1399,Movie,"Up, Up and Away",Robert Townsend,"Robert Townsend, Michael Pagan, Alex Datcher, Sherman Hemsley, Kevin Connolly, Olivia Burnette","Canada, United States",11/12/2019,2000,TV-G,78 min,Comedy, Coming of Age, Fantasy
Disney,s1400,Movie,Valiant,Gary Chapman,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent, Hugh Laurie, John Cleese","United Kingdom, United States",11/12/2019,2005,G,76 min,Action-Adventure, Animation, Comedy
Disney,s1401,Movie,Waking Sleeping Beauty,Don Hahn,"Don Hahn, Ron Clements, Roy Disney, Glen Keane, Jeffrey Katzenberg, Roger Allers",United States,11/12/2019,2010,PG,87 min,Documentary,,
Disney,s1402,Movie,WALL-E,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, Macintalk , John Ratzenberger",United States,11/12/2019,2008,G,99 min,Action-Adventure, Animation, Family
Disney,s1403,Movie,Wendy Wu: Homecoming Warrior,John Laing,"Brenda Song, Shin Koyamada, Susan Chuang, Justin Chon, Michael Cheng, Andy Fischer-Price",United States,11/12/2019,2006,TV-PG,91 min,Action-Adventure, Coming of Age, Fantasy
Disney,s1404,Movie,Whispers: An Elephant's Tale,Dereck Joubert,"Angela Bassett, Joanna Lumley, Anne Archer, Debi Derryberry, Kevin Richardson, Alice Ghostley",United States,11/12/2019,2000,G,73 min,Action-Adventure, Animals & Nature, Family
Disney,s1405,Movie,White Fang,Randal Kleiser,"Klaus Brandauer, Ethan Hawke, Seymour Cassel, James Remar, Susan Hogan, Suzanne Kent",United States,11/12/2019,1991,PG,109 min,Action-Adventure, Animals & Nature, Drama
Disney,s1406,Movie,Who Framed Roger Rabbit,Robert Zemeckis,"Bob Hoskins, Christopher Lloyd, Stubby Kaye, Joanna Cassidy, Alan Tilvern, Richard LeParmentier",United States,11/12/2019,1988,PG,104 min,Action-Adventure, Animation, Comedy
Disney,s1407,TV Show,Wild Yellowstone,,Bart Thomasson,Germany,11/12/2019,2015,TV-PG,1 Season,Animals&Nature, Docuseries, Travel
Disney,s1408,Movie,Winged Seduction: Birds of Paradise,Molly Hermann,Josh Goodman,United States,11/12/2019,2012,TV-PG,45 min,Action-Adventure, Animals & Nature, Documentary
Disney,s1409,Movie,Winnie the Pooh,"Stephen Anderson, Don Hall","John Cleese, Jim Cummings, Bud Luckey, Craig Ferguson, Jack Boulter, Travis Oates",United States,11/12/2019,2011,G,68 min,Animation, Comedy, Family
Disney,s1410,Movie,Winnie the Pooh: A Very Merry Pooh Year,"Ed Wexler, Gary Katona, Jamie Mitchell","Jim Cummings, Peter Cullen, John Fiedler, Michael Gough, William Green, Nikita Hopkins",United States,11/12/2019,2002,G,67 min,Animation, Kids,
